 ;0.234579
!;0.00210314
&;1.86946e-05
';0.00608508
,;0.0147313
-;0.00184141
.;0.00769281
:;0.0031033
;;0.00268267
?;0.00214053
A;0.00938467
B;0.00425301
C;0.00507557
D;0.00330894
E;0.00502884
F;0.00312199
G;0.00105624
H;0.00402868
I;0.00524382
J;9.34728e-06
K;0.000233682
L;0.00318742
M;0.00599161
N;0.00298178
O;0.00295374
P;0.000401933
Q;0.000476711
R;0.000972117
S;0.00394455
T;0.00782367
U;0.00188815
V;0.000158904
W;0.00416889
X;0.000317808
Y;0.00147687
[;0.00010282
];0.00010282
a;0.0469888
b;0.00945945
c;0.0150865
d;0.0279203
e;0.0819663
f;0.0128058
g;0.0114504
h;0.0452595
i;0.0384547
j;0.000345849
k;0.00622529
l;0.0277147
m;0.0172083
n;0.0438481
o;0.0537095
p;0.00897339
q;0.00065431
r;0.0414084
s;0.0423806
t;0.0584298
u;0.0223774
v;0.00598226
w;0.0139648
x;0.000729088
y;0.0138433
z;0.000140209
Entropy
 ;-0.785909
!;-0.0217347
&;-0.000320606
';-0.0535414
,;-0.110735
-;-0.0193833
.;-0.0650766
:;-0.0303268
;;-0.0267807
?;-0.0220666
A;-0.0766857
B;-0.039625
C;-0.045991
D;-0.0320296
E;-0.0456348
F;-0.0304824
G;-0.0119659
H;-0.0378505
I;-0.0472682
J;-0.00016965
K;-0.00315604
L;-0.0310257
M;-0.0528532
N;-0.0293114
O;-0.029076
P;-0.00511386
Q;-0.0059479
R;-0.0111294
S;-0.0371804
T;-0.0659925
U;-0.019807
V;-0.00223453
W;-0.0389616
X;-0.00415121
Y;-0.0160165
[;-0.00151045
];-0.00151045
a;-0.273465
b;-0.0771879
c;-0.112883
d;-0.183853
e;-0.40907
f;-0.0988667
g;-0.090262
h;-0.265908
i;-0.235162
j;-0.0044753
k;-0.0545699
l;-0.182798
m;-0.125465
n;-0.259666
o;-0.30195
p;-0.0739078
q;-0.00786478
r;-0.248713
s;-0.253102
t;-0.32118
u;-0.154588
v;-0.0527843
w;-0.106058
x;-0.00864974
y;-0.105311
z;-0.00199696
