Ä;0.0141007
Å;0.000104838
Ç;0.0208104
Ñ;0.00125806
Ö;0.00864916
á;0.00414111
ì;0.000104838
î;0.00791529
ô;0.0125282
ö;0.000104838
õ;0.0049274
ù;0.000157257
û;0.000157257
¶;0.00576611
≥;0.00676207
∫;0.000576611
ª;0.000314515
º;0.010379
√;0.00676207
ƒ;0.0253184
≈;0.0384757
‚;0.0141007
 ;0.144415
!;0.00267338
*;0.000157257
,;0.0139959
-;5.24191e-05
.;0.00990722
:;0.00104838
?;0.00188709
A;0.00125806
B;0.000733868
C;0.000995964
D;0.000786287
G;0.000104838
H;0.000157257
I;0.000524191
J;0.00120564
K;0.000576611
L;0.000104838
M;0.000576611
N;0.0022016
O;0.000838706
P;0.00146774
R;0.000314515
S;0.000419353
T;0.00115322
U;0.000209677
W;0.00104838
Z;0.000681449
a;0.0679352
b;0.0108508
c;0.0264192
d;0.0232217
e;0.0557215
f;0.000891125
g;0.00843948
h;0.00707658
i;0.0599151
j;0.0157782
k;0.0247418
l;0.0145201
m;0.0225402
n;0.0331289
o;0.0525764
p;0.0215443
r;0.0274676
s;0.0267338
t;0.0247418
u;0.0147298
w;0.0251088
y;0.0221209
z;0.0408869
Entropy
Ä;-0.106892
Å;-0.00153716
Ç;-0.145967
Ñ;-0.0139347
Ö;-0.0716986
á;-0.0387421
ì;-0.00153716
î;-0.0666318
ô;-0.0971222
ö;-0.00153716
õ;-0.0448595
ù;-0.00221374
û;-0.00221374
¶;-0.0511841
≥;-0.0584657
∫;-0.00703603
ª;-0.00411293
º;-0.0832953
√;-0.0584657
ƒ;-0.170341
≈;-0.235259
‚;-0.106892
 ;-0.595685
!;-0.0267014
*;-0.00221374
,;-0.106249
-;-0.000820999
.;-0.0801774
:;-0.0118882
?;-0.0197974
A;-0.0139347
B;-0.00869953
C;-0.0113675
D;-0.00924264
G;-0.00153716
H;-0.00221374
I;-0.00646849
J;-0.0134282
K;-0.00703603
L;-0.00153716
M;-0.00703603
N;-0.0226068
O;-0.00978069
P;-0.0159306
R;-0.00411293
S;-0.00530982
T;-0.0129184
U;-0.00286462
W;-0.0118882
Z;-0.00815102
a;-0.358171
b;-0.0863818
c;-0.176104
d;-0.159166
e;-0.310222
f;-0.010314
g;-0.0702605
h;-0.0607193
i;-0.327108
j;-0.117029
k;-0.167294
l;-0.109452
m;-0.155475
n;-0.209848
o;-0.297242
p;-0.150026
r;-0.181529
s;-0.177738
t;-0.167294
u;-0.110726
w;-0.169235
y;-0.153189
z;-0.246344
